iteracao,score
11330,-4214.637005117203
11340,-4214.637005117203
11350,-4214.637005117203
11360,-4214.637005117203
11370,-4214.637005117203
11380,-4214.637005117203
11390,-4214.637005117203
11400,-4214.637005117203
11410,-4214.637005117203
11420,-4214.637005117203
11430,-4214.637005117203
11440,-4214.637005117203
11450,-4214.637005117203
11460,-4214.637005117203
11470,-4214.637005117203
11480,-4214.637005117203
11490,-4214.637005117203
11500,-4214.637005117203
11510,-4214.637005117203
11520,-4214.637005117203
11530,-4214.637005117203
11540,-4214.637005117203
11550,-4214.637005117203
11560,-4214.637005117203
11570,-4214.637005117203
11580,-4214.637005117203
11590,-4214.637005117203
11600,-4214.637005117203
11610,-4214.637005117203
11620,-4214.637005117203
11630,-4214.637005117203
11640,-4214.637005117203
11650,-4214.637005117203
11660,-4214.637005117203
11670,-4214.637005117203
